name,time,flow_in,flow_out,pressure_in,pressure_out
aorta,6.3867636763676394e-01,-3.1983889753366723e+00,2.3300584016215558e+00,1.8162613200853160e+05,1.8171062470812918e+05
aorta,6.3878507850785127e-01,-3.2015092914449590e+00,2.3285542587564323e+00,1.8162007656139019e+05,1.8170508752025792e+05
aorta,6.3889378937893682e-01,-3.2046296075531631e+00,2.3270403651193625e+00,1.8161401935027886e+05,1.8169954686124506e+05
aorta,6.3900250025002414e-01,-3.2077499236613325e+00,2.3255167534622472e+00,1.8160796038584711e+05,1.8169400272554849e+05
aorta,6.3911121112111147e-01,-3.2108702397695956e+00,2.3239834568450854e+00,1.8160189967870846e+05,1.8168845510767974e+05
aorta,6.3921992199219879e-01,-3.2139905558778117e+00,2.3224405086342546e+00,1.8159583723944009e+05,1.8168290400220474e+05
aorta,6.3932863286328612e-01,-3.2171108719860513e+00,2.3208879425007680e+00,1.8158977307858254e+05,1.8167734940374451e+05
aorta,6.3943734373437344e-01,-3.2202311880942798e+00,2.3193257924185162e+00,1.8158370720663929e+05,1.8167179130697568e+05
aorta,6.3954605460546077e-01,-3.2240709568736006e+00,2.3177540883889636e+00,1.8157763773943379e+05,1.8166622970662254e+05
aorta,6.3965476547654809e-01,-3.2276292006468230e+00,2.3161728555536354e+00,1.8157156656746450e+05,1.8166066459744450e+05
aorta,6.3976347634763364e-01,-3.2313282069230946e+00,2.3145821176861205e+00,1.8156549284672187e+05,1.8165509597423015e+05
aorta,6.3987218721872097e-01,-3.2349568319477520e+00,2.3129818988480242e+00,1.8155941701843459e+05,1.8164952383179672e+05
aorta,6.3998089808980829e-01,-3.2386206475983061e+00,2.3113722234099026e+00,1.8155333887675672e+05,1.8164394816499084e+05
aorta,6.4008960896089562e-01,-3.2422668679359123e+00,2.3097531160331739e+00,1.8154725854030784e+05,1.8163836896868900e+05
aorta,6.4019831983198294e-01,-3.2459218859299916e+00,2.3081246016749537e+00,1.8154117596519797e+05,1.8163278623779837e+05
aorta,6.4030703070307027e-01,-3.2495725050958346e+00,2.3064867055852503e+00,1.8153509118881944e+05,1.8162719996725736e+05
aorta,6.4041574157415759e-01,-3.2532253236757964e+00,2.3048394533062768e+00,1.8152900420785756e+05,1.8162161015203636e+05
aorta,6.4052445244524492e-01,-3.2568770425486981e+00,2.3031828706711921e+00,1.8152291503931934e+05,1.8161601678713833e+05
aorta,6.4063316331633224e-01,-3.2605293112751297e+00,2.3015169838029594e+00,1.8151682369000377e+05,1.8161041986759950e+05
aorta,6.4074187418741779e-01,-3.2641813050747972e+00,2.2998418191131549e+00,1.8151073017177315e+05,1.8160481938849002e+05
aorta,6.4085058505850512e-01,-3.2678334363377557e+00,2.2981574033007632e+00,1.8150463449391365e+05,1.8159921534491461e+05
aorta,6.4095929592959244e-01,-3.2714854988691591e+00,2.2964637633509541e+00,1.8149853666695609e+05,1.8159360773201322e+05
aorta,6.4106800680067977e-01,-3.2751375957663411e+00,2.2947609265338405e+00,1.8149243670076437e+05,1.8158799654496170e+05
aorta,6.4117671767176709e-01,-3.2787896754806325e+00,2.2930489204032192e+00,1.8148633460549117e+05,1.8158238177897243e+05
aorta,6.4128542854285442e-01,-3.2824417637863692e+00,2.2913277727952912e+00,1.8148023039109938e+05,1.8157676342929498e+05
aorta,6.4139413941394174e-01,-3.2860938477963839e+00,2.2895975118273650e+00,1.8147412406760111e+05,1.8157114149121678e+05
aorta,6.4150285028502907e-01,-3.2897459339542592e+00,2.2878581658965418e+00,1.8146801564493758e+05,1.8156551596006370e+05
aorta,6.4161156115611462e-01,-3.2933980190382042e+00,2.2861097636783825e+00,1.8146190513303885e+05,1.8155988683120080e+05
aorta,6.4172027202720194e-01,-3.2970501046590246e+00,2.2843523341255554e+00,1.8145579254179337e+05,1.8155425410003285e+05
aorta,6.4182898289828927e-01,-3.3007021900114970e+00,2.2825859064664678e+00,1.8144967788106282e+05,1.8154861776200510e+05
aorta,6.4193769376937659e-01,-3.3043542754981443e+00,2.2808105102038776e+00,1.8144356116067420e+05,1.8154297781260379e+05
aorta,6.4204640464046392e-01,-3.3080063609177031e+00,2.2790261751134899e+00,1.8143744239042341e+05,1.8153733424735680e+05
aorta,6.4215511551155124e-01,-3.3116584463708065e+00,2.2772329312425330e+00,1.8143132158007295e+05,1.8153168706183438e+05
aorta,6.4226382638263857e-01,-3.3153105318071372e+00,2.2754308089083195e+00,1.8142519873935264e+05,1.8152603625164967e+05
aorta,6.4237253725372589e-01,-3.3189626172518549e+00,2.2736198386967876e+00,1.8141907387795881e+05,1.8152038181245932e+05
aorta,6.4248124812481144e-01,-3.3226147026923782e+00,2.2718000514610264e+00,1.8141294700555425e+05,1.8151472373996416e+05
aorta,6.4258995899589877e-01,-3.3262667881349102e+00,2.2699714783197842e+00,1.8140681813176785e+05,1.8150906202990975e+05
aorta,6.4269866986698609e-01,-3.3299188735765268e+00,2.2681341506559578e+00,1.8140068726619429e+05,1.8150339667808698e+05
aorta,6.4280738073807342e-01,-3.3335709590186009e+00,2.2662881001150676e+00,1.8139455441839379e+05,1.8149772768033275e+05
aorta,6.4291609160916074e-01,-3.3372230444604472e+00,2.2644333586037146e+00,1.8138841959789180e+05,1.8149205503253048e+05
aorta,6.4302480248024807e-01,-3.3408751299024071e+00,2.2625699582880205e+00,1.8138228281417873e+05,1.8148637873061074e+05
aorta,6.4313351335133540e-01,-3.3445272153443093e+00,2.2606979315920501e+00,1.8137614407670966e+05,1.8148069877055185e+05
aorta,6.4324222422242272e-01,-3.3481793007862413e+00,2.2588173111962178e+00,1.8137000339490405e+05,1.8147501514838036e+05
aorta,6.4335093509350827e-01,-3.3518313862281577e+00,2.2569281300356812e+00,1.8136386077814546e+05,1.8146932786017173e+05
aorta,6.4345964596459559e-01,-3.3554834716699928e+00,2.2550304212987133e+00,1.8135771623578129e+05,1.8146363690205087e+05
aorta,6.4356835683568292e-01,-3.3591355571119581e+00,2.2531242184250631e+00,1.8135156977712252e+05,1.8145794227019264e+05
aorta,6.4367706770677025e-01,-3.3627876425538576e+00,2.2512095551042952e+00,1.8134542141144336e+05,1.8145224396082250e+05
aorta,6.4378577857785757e-01,-3.3669395491807532e+00,2.2492864623050686e+00,1.8133926982296514e+05,1.8144654197021088e+05
aorta,6.4389448944894490e-01,-3.3710658967319262e+00,2.2473549666485511e+00,1.8133311588835370e+05,1.8144083629466264e+05
aorta,6.4400320032003222e-01,-3.3752050238209614e+00,2.2454150927341070e+00,1.8132695951560419e+05,1.8143512693051013e+05
aorta,6.4411191119111955e-01,-3.3793377611410644e+00,2.2434668651258050e+00,1.8132080075796117e+05,1.8142941387411163e+05
aorta,6.4422062206220509e-01,-3.3834736933456346e+00,2.2415103086674124e+00,1.8131463960379819e+05,1.8142369712185176e+05
aorta,6.4432933293329242e-01,-3.3876080281078691e+00,2.2395454484420525e+00,1.8130847607233337e+05,1.8141797667014203e+05
aorta,6.4443804380437975e-01,-3.3917431615913731e+00,2.2375723097742473e+00,1.8130231016762700e+05,1.8141225251542142e+05
aorta,6.4454675467546707e-01,-3.3958778957142419e+00,2.2355909182292018e+00,1.8129614190121769e+05,1.8140652465415685e+05
aorta,6.4465546554655440e-01,-3.4000128295174288e+00,2.2336012996114669e+00,1.8128997128087355e+05,1.8140079308284383e+05
aorta,6.4476417641764172e-01,-3.4041476634804564e+00,2.2316034799639448e+00,1.8128379831620399e+05,1.8139505779800695e+05
aorta,6.4487288728872905e-01,-3.4082825473635632e+00,2.2295974855667575e+00,1.8127762301585494e+05,1.8138931879620047e+05
aorta,6.4498159815981637e-01,-3.4124174062866315e+00,2.2275833429361347e+00,1.8127144538891109e+05,1.8138357607400883e+05
aorta,6.4509030903090370e-01,-3.4165522776897177e+00,2.2255610788232763e+00,1.8126526544419405e+05,1.8137782962804718e+05
aorta,6.4519901990198925e-01,-3.4206871428527967e+00,2.2235307202132040e+00,1.8125908319061305e+05,1.8137207945496208e+05
aorta,6.4530773077307657e-01,-3.4248220111357766e+00,2.2214922943235940e+00,1.8125289863698912e+05,1.8136632555143180e+05
aorta,6.4541644164416390e-01,-3.4289568778589081e+00,2.2194458286035954e+00,1.8124671179214271e+05,1.8136056791416713e+05
aorta,6.4552515251525122e-01,-3.4330917453619629e+00,2.2173913507326359e+00,1.8124052266484941e+05,1.8135480653991172e+05
aorta,6.4563386338633855e-01,-3.4372266124750568e+00,2.2153288886192097e+00,1.8123433126386179e+05,1.8134904142544270e+05
aorta,6.4574257425742587e-01,-3.4413614797831311e+00,2.2132584703996492e+00,1.8122813759789808e+05,1.8134327256757123e+05
aorta,6.4585128512851320e-01,-3.4454963469937145e+00,2.2111801244368858e+00,1.8122194167564739e+05,1.8133749996314305e+05
